id_respon,timestamp,layanan,komentar_teks,id_pengisian,urut_komentar,label_manual,teks_casefold,tokens,tokens_nostop,tokens_stem,teks_bersih
027-01,08/01/2026 23:40:26,Portal Akademik (WEB),Baik,27,1,,baik,['baik'],['baik'],['baik'],baik
027-02,08/01/2026 23:40:26,MyClass UMSU,Baik,27,2,,baik,['baik'],['baik'],['baik'],baik
027-03,08/01/2026 23:40:26,WiFi Kampus,Baik,27,3,,baik,['baik'],['baik'],['baik'],baik
027-04,08/01/2026 23:40:26,Helpdesk/Technical Support,Baik,27,4,,baik,['baik'],['baik'],['baik'],baik
027-05,08/01/2026 23:40:26,Saran Peningkatan,Lebih ditingkatkan,27,5,,lebih ditingkatkan,"['lebih', 'ditingkatkan']",['ditingkatkan'],['ditingkatkan'],ditingkatkan
028-01,08/01/2026 23:41:16,Portal Akademik (WEB),"pernah loading lama saat mau akses, padahal sedang butuh cepat mengaksesnya.",28,1,,pernah loading lama saat mau akses padahal sedang butuh cepat mengaksesnya,"['pernah', 'loading', 'lama', 'saat', 'mau', 'akses', 'padahal', 'sedang', 'butuh', 'cepat', 'mengaksesnya']","['pernah', 'loading', 'lama', 'saat', 'mau', 'akses', 'padahal', 'sedang', 'butuh', 'cepat', 'mengaksesnya']","['pernah', 'loading', 'lama', 'saat', 'mau', 'akses', 'padahal', 'sedang', 'butuh', 'cepat', 'mengaksesnya']",pernah loading lama saat mau akses padahal sedang butuh cepat mengaksesnya
028-02,08/01/2026 23:41:16,MyClass UMSU,"pernah loading lama saat mau akses myclass, padahal sedang butuh cepat mengakses e-learning tersebut.",28,2,,pernah loading lama saat mau akses myclass padahal sedang butuh cepat mengakses e learning tersebut,"['pernah', 'loading', 'lama', 'saat', 'mau', 'akses', 'myclass', 'padahal', 'sedang', 'butuh', 'cepat', 'mengakses', 'learning', 'tersebut']","['pernah', 'loading', 'lama', 'saat', 'mau', 'akses', 'myclass', 'padahal', 'sedang', 'butuh', 'cepat', 'mengakses', 'learning', 'tersebut']","['pernah', 'loading', 'lama', 'saat', 'mau', 'akses', 'myclass', 'padahal', 'sedang', 'butuh', 'cepat', 'mengakses', 'learning', 'tersebut']",pernah loading lama saat mau akses myclass padahal sedang butuh cepat mengakses learning tersebut
028-03,08/01/2026 23:41:16,WiFi Kampus,"Sejauh ini baik, tidak ada kendala dalam mengakses dan menggunakannya.",28,3,,sejauh ini baik tidak ada kendala dalam mengakses dan menggunakannya,"['sejauh', 'ini', 'baik', 'tidak', 'ada', 'kendala', 'dalam', 'mengakses', 'dan', 'menggunakannya']","['sejauh', 'baik', 'tidak', 'ada', 'kendala', 'mengakses', 'menggunakannya']","['sejauh', 'baik', 'tidak', 'ada', 'kendala', 'mengakses', 'menggunakannya']",sejauh baik tidak ada kendala mengakses menggunakannya
028-05,08/01/2026 23:41:16,Saran Peningkatan,Lakukan perbaikan dalam keterbatasan kecepatan akses penggunaan myclass dan portal web.,28,5,,lakukan perbaikan dalam keterbatasan kecepatan akses penggunaan myclass dan portal web,"['lakukan', 'perbaikan', 'dalam', 'keterbatasan', 'kecepatan', 'akses', 'penggunaan', 'myclass', 'dan', 'portal', 'web']","['lakukan', 'perbaikan', 'keterbatasan', 'kecepatan', 'akses', 'penggunaan', 'myclass', 'portal', 'web']","['lakukan', 'perbaikan', 'keterbatasan', 'kecepatan', 'akses', 'penggunaan', 'myclass', 'portal', 'web']",lakukan perbaikan keterbatasan kecepatan akses penggunaan myclass portal web
029-01,08/01/2026 23:49:05,Portal Akademik (WEB),"server sering down kalau sedang banyak yang akses, biasanya pagi hari saat banyak mahasiswa yang absensi.",29,1,,server sering down kalau sedang banyak yang akses biasanya pagi hari saat banyak mahasiswa yang absensi,"['server', 'sering', 'down', 'kalau', 'sedang', 'banyak', 'yang', 'akses', 'biasanya', 'pagi', 'hari', 'saat', 'banyak', 'mahasiswa', 'yang', 'absensi']","['server', 'sering', 'down', 'kalau', 'sedang', 'akses', 'biasanya', 'pagi', 'hari', 'saat', 'mahasiswa', 'absensi']","['server', 'sering', 'down', 'kalau', 'sedang', 'akses', 'biasanya', 'pagi', 'hari', 'saat', 'mahasiswa', 'absensi']",server sering down kalau sedang akses biasanya pagi hari saat mahasiswa absensi
029-02,08/01/2026 23:49:05,MyClass UMSU,"saya suka dengan UI (user interface) dari MyClass terbaru, lebih clean dan informatif. UX (User Experience) nya juga mudah dipahami walaupun sedikit lebih kompleks dari MyClass sebelumnya",29,2,,saya suka dengan ui user interface dari myclass terbaru lebih clean dan informatif ux user experience nya juga mudah dipahami walaupun sedikit lebih kompleks dari myclass sebelumnya,"['saya', 'suka', 'dengan', 'ui', 'user', 'interface', 'dari', 'myclass', 'terbaru', 'lebih', 'clean', 'dan', 'informatif', 'ux', 'user', 'experience', 'nya', 'juga', 'mudah', 'dipahami', 'walaupun', 'sedikit', 'lebih', 'kompleks', 'dari', 'myclass', 'sebelumnya']","['suka', 'ui', 'user', 'interface', 'myclass', 'terbaru', 'clean', 'informatif', 'ux', 'user', 'experience', 'mudah', 'dipahami', 'kompleks', 'myclass', 'sebelumnya']","['suka', 'ui', 'user', 'interface', 'myclass', 'terbaru', 'clean', 'informatif', 'ux', 'user', 'experience', 'mudah', 'dipahami', 'kompleks', 'myclass', 'sebelumnya']",suka ui user interface myclass terbaru clean informatif ux user experience mudah dipahami kompleks myclass sebelumnya
029-03,08/01/2026 23:49:05,WiFi Kampus,"Saya suka dengan kecepatan WiFi di UMSU, sangat membantu mahasiswa dalam mengerjakan tugas di sekitaran kampus.",29,3,,saya suka dengan kecepatan wifi di umsu sangat membantu mahasiswa dalam mengerjakan tugas di sekitaran kampus,"['saya', 'suka', 'dengan', 'kecepatan', 'wifi', 'di', 'umsu', 'sangat', 'membantu', 'mahasiswa', 'dalam', 'mengerjakan', 'tugas', 'di', 'sekitaran', 'kampus']","['suka', 'kecepatan', 'wifi', 'umsu', 'membantu', 'mahasiswa', 'mengerjakan', 'tugas', 'sekitaran', 'kampus']","['suka', 'kecepatan', 'wifi', 'umsu', 'membantu', 'mahasiswa', 'mengerjakan', 'tugas', 'sekitaran', 'kampus']",suka kecepatan wifi umsu membantu mahasiswa mengerjakan tugas sekitaran kampus
029-04,08/01/2026 23:49:05,Helpdesk/Technical Support,"Respon admin cepat dan jelas, masalah cepat teratasi.",29,4,,respon admin cepat dan jelas masalah cepat teratasi,"['respon', 'admin', 'cepat', 'dan', 'jelas', 'masalah', 'cepat', 'teratasi']","['respon', 'admin', 'cepat', 'jelas', 'masalah', 'cepat', 'teratasi']","['respon', 'admin', 'cepat', 'jelas', 'masalah', 'cepat', 'teratasi']",respon admin cepat jelas masalah cepat teratasi
029-05,08/01/2026 23:49:05,Saran Peningkatan,"Kapasitas akses user lebih diperbesar agar server tidak tiba-tiba down, terkhusus di pagi hari ketika trafic sedang ramai.",29,5,,kapasitas akses user lebih diperbesar agar server tidak tiba tiba down terkhusus di pagi hari ketika trafic sedang ramai,"['kapasitas', 'akses', 'user', 'lebih', 'diperbesar', 'agar', 'server', 'tidak', 'tiba', 'tiba', 'down', 'terkhusus', 'di', 'pagi', 'hari', 'ketika', 'trafic', 'sedang', 'ramai']","['kapasitas', 'akses', 'user', 'diperbesar', 'server', 'tidak', 'tiba', 'tiba', 'down', 'terkhusus', 'pagi', 'hari', 'ketika', 'trafic', 'sedang', 'ramai']","['kapasitas', 'akses', 'user', 'diperbesar', 'server', 'tidak', 'tiba', 'tiba', 'down', 'terkhusus', 'pagi', 'hari', 'ketika', 'trafic', 'sedang', 'ramai']",kapasitas akses user diperbesar server tidak tiba tiba down terkhusus pagi hari ketika trafic sedang ramai
030-01,08/01/2026 23:54:16,Portal Akademik (WEB),Mudah di akses,30,1,,mudah di akses,"['mudah', 'di', 'akses']","['mudah', 'akses']","['mudah', 'akses']",mudah akses
030-02,08/01/2026 23:54:16,MyClass UMSU,Mudah di akses,30,2,,mudah di akses,"['mudah', 'di', 'akses']","['mudah', 'akses']","['mudah', 'akses']",mudah akses
030-03,08/01/2026 23:54:16,WiFi Kampus,Jaringan nya bagus dan tidak lag,30,3,,jaringan nya bagus dan tidak lag,"['jaringan', 'nya', 'bagus', 'dan', 'tidak', 'lag']","['jaringan', 'bagus', 'tidak', 'lag']","['jaringan', 'bagus', 'tidak', 'lag']",jaringan bagus tidak lag
030-04,08/01/2026 23:54:16,Helpdesk/Technical Support,"Pengalaman saya cukup baik, karena helpdesk IT UMSU merespons dan membantu menyelesaikan kendala dengan jelas, meskipun terkadang responnya lambat saat sedang ramai",30,4,,pengalaman saya cukup baik karena helpdesk it umsu merespons dan membantu menyelesaikan kendala dengan jelas meskipun terkadang responnya lambat saat sedang ramai,"['pengalaman', 'saya', 'cukup', 'baik', 'karena', 'helpdesk', 'it', 'umsu', 'merespons', 'dan', 'membantu', 'menyelesaikan', 'kendala', 'dengan', 'jelas', 'meskipun', 'terkadang', 'responnya', 'lambat', 'saat', 'sedang', 'ramai']","['pengalaman', 'cukup', 'baik', 'helpdesk', 'it', 'umsu', 'merespons', 'membantu', 'menyelesaikan', 'kendala', 'jelas', 'meskipun', 'terkadang', 'responnya', 'lambat', 'saat', 'sedang', 'ramai']","['pengalaman', 'cukup', 'baik', 'helpdesk', 'it', 'umsu', 'merespons', 'membantu', 'menyelesaikan', 'kendala', 'jelas', 'meskipun', 'terkadang', 'responnya', 'lambat', 'saat', 'sedang', 'ramai']",pengalaman cukup baik helpdesk it umsu merespons membantu menyelesaikan kendala jelas meskipun terkadang responnya lambat saat sedang ramai
030-05,08/01/2026 23:54:16,Saran Peningkatan,Semoga lebih bagus kedepannya,30,5,,semoga lebih bagus kedepannya,"['semoga', 'lebih', 'bagus', 'kedepannya']","['semoga', 'bagus', 'kedepannya']","['semoga', 'bagus', 'kedepannya']",semoga bagus kedepannya
031-01,09/01/2026 0:03:06,Portal Akademik (WEB),Sejauh ini sangat aman dan mudah,31,1,,sejauh ini sangat aman dan mudah,"['sejauh', 'ini', 'sangat', 'aman', 'dan', 'mudah']","['sejauh', 'aman', 'mudah']","['sejauh', 'aman', 'mudah']",sejauh aman mudah
031-02,09/01/2026 0:03:06,MyClass UMSU,Saat ini saat baik digunakan,31,2,,saat ini saat baik digunakan,"['saat', 'ini', 'saat', 'baik', 'digunakan']","['saat', 'saat', 'baik', 'digunakan']","['saat', 'saat', 'baik', 'digunakan']",saat saat baik digunakan
031-03,09/01/2026 0:03:06,WiFi Kampus,Wifi umsu beberapa belakangan ini banyak mengeluh karna jaringan yang sangat tidak stabil,31,3,,wifi umsu beberapa belakangan ini banyak mengeluh karna jaringan yang sangat tidak stabil,"['wifi', 'umsu', 'beberapa', 'belakangan', 'ini', 'banyak', 'mengeluh', 'karna', 'jaringan', 'yang', 'sangat', 'tidak', 'stabil']","['wifi', 'umsu', 'belakangan', 'mengeluh', 'karna', 'jaringan', 'tidak', 'stabil']","['wifi', 'umsu', 'belakangan', 'mengeluh', 'karna', 'jaringan', 'tidak', 'stabil']",wifi umsu belakangan mengeluh karna jaringan tidak stabil
031-04,09/01/2026 0:03:06,Helpdesk/Technical Support,Responnya sangat cepat dam baik,31,4,,responnya sangat cepat dam baik,"['responnya', 'sangat', 'cepat', 'dam', 'baik']","['responnya', 'cepat', 'dam', 'baik']","['responnya', 'cepat', 'dam', 'baik']",responnya cepat dam baik
031-05,09/01/2026 0:03:06,Saran Peningkatan,"Layanan untuk memberikan fasilitas papan peringatan ( harap tenang saat berada di lorong ) di bagian lorong gedung, karena suara mahasiswa dilorong atau di luar kelas sangat mengganggu untuk yang sedang belajar dan sedang berada di dalam kelas. Terimakasih",31,5,,layanan untuk memberikan fasilitas papan peringatan harap tenang saat berada di lorong di bagian lorong gedung karena suara mahasiswa dilorong atau di luar kelas sangat mengganggu untuk yang sedang belajar dan sedang berada di dalam kelas terimakasih,"['layanan', 'untuk', 'memberikan', 'fasilitas', 'papan', 'peringatan', 'harap', 'tenang', 'saat', 'berada', 'di', 'lorong', 'di', 'bagian', 'lorong', 'gedung', 'karena', 'suara', 'mahasiswa', 'dilorong', 'atau', 'di', 'luar', 'kelas', 'sangat', 'mengganggu', 'untuk', 'yang', 'sedang', 'belajar', 'dan', 'sedang', 'berada', 'di', 'dalam', 'kelas', 'terimakasih']","['layanan', 'memberikan', 'fasilitas', 'papan', 'peringatan', 'harap', 'tenang', 'saat', 'berada', 'lorong', 'bagian', 'lorong', 'gedung', 'suara', 'mahasiswa', 'dilorong', 'luar', 'kelas', 'mengganggu', 'sedang', 'belajar', 'sedang', 'berada', 'kelas', 'terimakasih']","['layanan', 'memberikan', 'fasilitas', 'papan', 'peringatan', 'harap', 'tenang', 'saat', 'berada', 'lorong', 'bagian', 'lorong', 'gedung', 'suara', 'mahasiswa', 'dilorong', 'luar', 'kelas', 'mengganggu', 'sedang', 'belajar', 'sedang', 'berada', 'kelas', 'terimakasih']",layanan memberikan fasilitas papan peringatan harap tenang saat berada lorong bagian lorong gedung suara mahasiswa dilorong luar kelas mengganggu sedang belajar sedang berada kelas terimakasih
032-01,09/01/2026 0:03:52,Portal Akademik (WEB),"pengalamannya kadang kalau dari web itu dia kaya harus login berkali kali kalau mau print krs, khs dan bayar ukt",32,1,,pengalamannya kadang kalau dari web itu dia kaya harus login berkali kali kalau mau print krs khs dan bayar ukt,"['pengalamannya', 'kadang', 'kalau', 'dari', 'web', 'itu', 'dia', 'kaya', 'harus', 'login', 'berkali', 'kali', 'kalau', 'mau', 'print', 'krs', 'khs', 'dan', 'bayar', 'ukt']","['pengalamannya', 'kadang', 'kalau', 'web', 'kaya', 'login', 'berkali', 'kali', 'kalau', 'mau', 'print', 'krs', 'khs', 'bayar', 'ukt']","['pengalamannya', 'kadang', 'kalau', 'web', 'kaya', 'login', 'berkali', 'kali', 'kalau', 'mau', 'print', 'krs', 'khs', 'bayar', 'ukt']",pengalamannya kadang kalau web kaya login berkali kali kalau mau print krs khs bayar ukt
032-02,09/01/2026 0:03:52,MyClass UMSU,sejauh ini bagus sih lebih gampang di akses aja,32,2,,sejauh ini bagus sih lebih gampang di akses aja,"['sejauh', 'ini', 'bagus', 'sih', 'lebih', 'gampang', 'di', 'akses', 'aja']","['sejauh', 'bagus', 'sih', 'gampang', 'akses', 'aja']","['sejauh', 'bagus', 'sih', 'gampang', 'akses', 'aja']",sejauh bagus sih gampang akses aja
032-03,09/01/2026 0:03:52,WiFi Kampus,susah konekk kadang kadang plis,32,3,,susah konekk kadang kadang plis,"['susah', 'konekk', 'kadang', 'kadang', 'plis']","['susah', 'konekk', 'kadang', 'kadang', 'plis']","['susah', 'konekk', 'kadang', 'kadang', 'plis']",susah konekk kadang kadang plis
032-04,09/01/2026 0:03:52,Helpdesk/Technical Support,nothing,32,4,,nothing,['nothing'],['nothing'],['nothing'],nothing
032-05,09/01/2026 0:03:52,Saran Peningkatan,"hmm, sarannya adalah semoga lebih tidak ngelag untuk wifi",32,5,,hmm sarannya adalah semoga lebih tidak ngelag untuk wifi,"['hmm', 'sarannya', 'adalah', 'semoga', 'lebih', 'tidak', 'ngelag', 'untuk', 'wifi']","['hmm', 'sarannya', 'semoga', 'tidak', 'ngelag', 'wifi']","['hmm', 'sarannya', 'semoga', 'tidak', 'ngelag', 'wifi']",hmm sarannya semoga tidak ngelag wifi
033-01,09/01/2026 0:34:15,Portal Akademik (WEB),"Pengalaman saya menggunakan Portal Akademik (WEB) ada yang baik dan ada juga yang kurang menyenangkan. Dari sisi positif, portal ini cukup membantu mahasiswa dalam mengakses informasi akademik seperti jadwal kuliah, KRS, KHS, dan pengumuman kampus tanpa harus datang langsung ke bagian akademik. Tampilan web juga relatif sederhana sehingga mudah dipahami, terutama untuk kebutuhan dasar mahasiswa.
Namun, pengalaman kurang baik yang saya rasakan adalah portal sering mengalami error atau lambat diakses. Hal ini cukup menghambat karena mahasiswa membutuhkan akses cepat, sementara waktu pengisian terbatas. Selain itu, terkadang data yang ditampilkan tidak langsung ter-update, sehingga menimbulkan kebingungan dan membuat mahasiswa harus mengecek berulang kali.

Secara keseluruhan, Portal Akademik sangat bermanfaat sebagai sistem informasi akademik, tetapi perlu peningkatan dari segi stabilitas sistem dan kecepatan akses agar dapat menunjang kegiatan akademik mahasiswa dengan lebih optimal.",33,1,,pengalaman saya menggunakan portal akademik web ada yang baik dan ada juga yang kurang menyenangkan dari sisi positif portal ini cukup membantu mahasiswa dalam mengakses informasi akademik seperti jadwal kuliah krs khs dan pengumuman kampus tanpa harus datang langsung ke bagian akademik tampilan web juga relatif sederhana sehingga mudah dipahami terutama untuk kebutuhan dasar mahasiswa namun pengalaman kurang baik yang saya rasakan adalah portal sering mengalami error atau lambat diakses hal ini cukup menghambat karena mahasiswa membutuhkan akses cepat sementara waktu pengisian terbatas selain itu terkadang data yang ditampilkan tidak langsung ter update sehingga menimbulkan kebingungan dan membuat mahasiswa harus mengecek berulang kali secara keseluruhan portal akademik sangat bermanfaat sebagai sistem informasi akademik tetapi perlu peningkatan dari segi stabilitas sistem dan kecepatan akses agar dapat menunjang kegiatan akademik mahasiswa dengan lebih optimal,"['pengalaman', 'saya', 'menggunakan', 'portal', 'akademik', 'web', 'ada', 'yang', 'baik', 'dan', 'ada', 'juga', 'yang', 'kurang', 'menyenangkan', 'dari', 'sisi', 'positif', 'portal', 'ini', 'cukup', 'membantu', 'mahasiswa', 'dalam', 'mengakses', 'informasi', 'akademik', 'seperti', 'jadwal', 'kuliah', 'krs', 'khs', 'dan', 'pengumuman', 'kampus', 'tanpa', 'harus', 'datang', 'langsung', 'ke', 'bagian', 'akademik', 'tampilan', 'web', 'juga', 'relatif', 'sederhana', 'sehingga', 'mudah', 'dipahami', 'terutama', 'untuk', 'kebutuhan', 'dasar', 'mahasiswa', 'namun', 'pengalaman', 'kurang', 'baik', 'yang', 'saya', 'rasakan', 'adalah', 'portal', 'sering', 'mengalami', 'error', 'atau', 'lambat', 'diakses', 'hal', 'ini', 'cukup', 'menghambat', 'karena', 'mahasiswa', 'membutuhkan', 'akses', 'cepat', 'sementara', 'waktu', 'pengisian', 'terbatas', 'selain', 'itu', 'terkadang', 'data', 'yang', 'ditampilkan', 'tidak', 'langsung', 'ter', 'update', 'sehingga', 'menimbulkan', 'kebingungan', 'dan', 'membuat', 'mahasiswa', 'harus', 'mengecek', 'berulang', 'kali', 'secara', 'keseluruhan', 'portal', 'akademik', 'sangat', 'bermanfaat', 'sebagai', 'sistem', 'informasi', 'akademik', 'tetapi', 'perlu', 'peningkatan', 'dari', 'segi', 'stabilitas', 'sistem', 'dan', 'kecepatan', 'akses', 'agar', 'dapat', 'menunjang', 'kegiatan', 'akademik', 'mahasiswa', 'dengan', 'lebih', 'optimal']","['pengalaman', 'menggunakan', 'portal', 'akademik', 'web', 'ada', 'baik', 'ada', 'kurang', 'menyenangkan', 'sisi', 'positif', 'portal', 'cukup', 'membantu', 'mahasiswa', 'mengakses', 'informasi', 'akademik', 'jadwal', 'kuliah', 'krs', 'khs', 'pengumuman', 'kampus', 'tanpa', 'datang', 'langsung', 'bagian', 'akademik', 'tampilan', 'web', 'relatif', 'sederhana', 'sehingga', 'mudah', 'dipahami', 'terutama', 'kebutuhan', 'dasar', 'mahasiswa', 'pengalaman', 'kurang', 'baik', 'rasakan', 'portal', 'sering', 'mengalami', 'error', 'lambat', 'diakses', 'hal', 'cukup', 'menghambat', 'mahasiswa', 'membutuhkan', 'akses', 'cepat', 'waktu', 'pengisian', 'terbatas', 'selain', 'terkadang', 'data', 'ditampilkan', 'tidak', 'langsung', 'ter', 'update', 'sehingga', 'menimbulkan', 'kebingungan', 'membuat', 'mahasiswa', 'mengecek', 'berulang', 'kali', 'secara', 'keseluruhan', 'portal', 'akademik', 'bermanfaat', 'sistem', 'informasi', 'akademik', 'perlu', 'peningkatan', 'segi', 'stabilitas', 'sistem', 'kecepatan', 'akses', 'menunjang', 'kegiatan', 'akademik', 'mahasiswa', 'optimal']","['pengalaman', 'menggunakan', 'portal', 'akademik', 'web', 'ada', 'baik', 'ada', 'kurang', 'menyenangkan', 'sisi', 'positif', 'portal', 'cukup', 'membantu', 'mahasiswa', 'mengakses', 'informasi', 'akademik', 'jadwal', 'kuliah', 'krs', 'khs', 'pengumuman', 'kampus', 'tanpa', 'datang', 'langsung', 'bagian', 'akademik', 'tampilan', 'web', 'relatif', 'sederhana', 'sehingga', 'mudah', 'dipahami', 'terutama', 'kebutuhan', 'dasar', 'mahasiswa', 'pengalaman', 'kurang', 'baik', 'rasakan', 'portal', 'sering', 'mengalami', 'error', 'lambat', 'diakses', 'hal', 'cukup', 'menghambat', 'mahasiswa', 'membutuhkan', 'akses', 'cepat', 'waktu', 'pengisian', 'terbatas', 'selain', 'terkadang', 'data', 'ditampilkan', 'tidak', 'langsung', 'ter', 'update', 'sehingga', 'menimbulkan', 'kebingungan', 'membuat', 'mahasiswa', 'mengecek', 'berulang', 'kali', 'secara', 'keseluruhan', 'portal', 'akademik', 'bermanfaat', 'sistem', 'informasi', 'akademik', 'perlu', 'peningkatan', 'segi', 'stabilitas', 'sistem', 'kecepatan', 'akses', 'menunjang', 'kegiatan', 'akademik', 'mahasiswa', 'optimal']",pengalaman menggunakan portal akademik web ada baik ada kurang menyenangkan sisi positif portal cukup membantu mahasiswa mengakses informasi akademik jadwal kuliah krs khs pengumuman kampus tanpa datang langsung bagian akademik tampilan web relatif sederhana sehingga mudah dipahami terutama kebutuhan dasar mahasiswa pengalaman kurang baik rasakan portal sering mengalami error lambat diakses hal cukup menghambat mahasiswa membutuhkan akses cepat waktu pengisian terbatas selain terkadang data ditampilkan tidak langsung ter update sehingga menimbulkan kebingungan membuat mahasiswa mengecek berulang kali secara keseluruhan portal akademik bermanfaat sistem informasi akademik perlu peningkatan segi stabilitas sistem kecepatan akses menunjang kegiatan akademik mahasiswa optimal
